Word,Count
apartment,1246
stockholm,833
city,663
lägenhet,568
room,547
södermalm,467
cozy,397
central,393
med,344
studio,329
close,288
nära,271
villa,259
bedroom,259
2,252
house,230
modern,206
flat,199
och,196
på,195
rum,191
spacious,190
apt,184
cosy,168
mysig,168
beautiful,166
1,161
min,161
charming,157
heart,152
balcony,151
3,145
lovely,144
near,141
town,135
view,130
sofo,128
center,126
old,123
location,115
nice,110
home,106
vasastan,106
bright,102
private,102
family,101
fin,99
4,98
top,96
kungsholmen,96
floor,95
area,95
bed,94
till,89
östermalm,86
great,85
nature,80
garden,78
mysigt,78
one,76
hus,76
stan,75
renovated,74
boende,72
stor,71
vid,71
balkong,71
large,69
bromma,69
trendy,68
newly,68
centralt,68
sthlm,66
15,64
gamla,63
enskede,62
radhus,62
penthouse,60
hornstull,60
stylish,60
w,60
ljus,59
pool,58
älvsjö,56
charmig,55
lake,54
terrace,51
centre,51
quiet,50
5,50
big,49
townhouse,47
från,47
two,46
10,46
läge,46
friendly,45
stay,45
söder,45
small,44
perfect,44
unique,43
mitt,43
centrala,42
av,42
bathroom,41
luxury,40
sunny,40
metro,40
shared,40
rooms,39
living,39
en,38
best,38
egen,37
new,36
place,36
amazing,35
mariatorget,35
trädgård,35
6,34
s,34
hotel,34
double,33
water,33
appartment,33
sqm,33
light,33
utsikt,33
20,32
comfortable,32
allt,32
för,32
single,31
rymlig,31
kista,31
loft,30
c,30
next,30
lugnt,30
subway,30
scandinavian,30
arena,29
sovrum,29
t,29
perfekt,29
calm,28
nyrenoverad,28
charmigt,28
studiolägenhet,28
globen,27
vattnet,27
område,27
natur,26
park,26
luxurious,26
minutes,26
furnished,25
exclusive,25
uthyres,25
hjärtat,25
design,25
telefonplan,25
fantastisk,24
stunning,24
waterfront,24
green,24
stockholms,24
sjöutsikt,24
fint,24
sea,23
oasis,23
urban,23
uteplats,23
station,23
window,23
etta,23
located,22
middle,22
centrum,22
trevligt,22
fräsch,22
ett,21
patio,21
hammarby,21
own,21
midsommarkransen,21
härlig,21
hägersten,21
trevlig,21
retreat,20
beach,20
eget,20
elegant,20
tvåa,20
aspudden,20
no,20
twin,20
gem,20
fresh,19
närhet,19
attic,19
breakfast,19
bad,19
vindsvåning,19
sjöstad,19
odenplan,19
south,19
kvm,19
två,19
bana,19
m,19
m2,18
pärla,18
liten,18
clean,18
peaceful,18
mälaren,18
mälarhöjden,18
avicii,18
only,17
hip,17
beds,17
everything,17
kitchen,17
unik,17
chic,17
bästa,17
queen,17
kök,17
vällingby,17
vacker,17
parkering,17
rent,16
very,16
fully,16
fönster,16
2a,16
three,15
nytorget,15
popular,15
duplex,15
ingång,15
utan,15
lilla,15
tre,15
style,14
tele2,14
stort,14
wonderful,14
12,14
essingen,14
familjevänlig,14
spånga,14
parhus,14
tunnelbana,14
gärdet,14
rymligt,14
dorm,14
farsta,13
charm,13
sauna,13
downtown,13
mysiga,13
lgh,13
b,13
just,13
century,13
årsta,13
entrance,13
våning,13
super,13
oas,13
parking,13
standard,13
nomad,13
inn,13
sodermalm,12
all,12
fantastic,12
guest,12
high,12
30,12
60,12
2br,12
bagarmossen,12
like,12
om,12
free,12
equipped,12
familjevänligt,12
walk,12
minuter,12
superior,12
trea,12
views,11
stad,11
families,11
suite,11
slussen,11
stockholmsmässan,11
barnvänlig,11
bedrooms,11
your,11
stora,11
rooftop,11
well,11
etagelägenhet,11
inner,11
gröndal,11
hammarbyhöjden,11
comfy,11
designer,11
öppen,11
o,11
norrmalm,11
små,11
condo,11
jacuzzi,10
forest,10
br,10
8,10
mins,10
sekelskifteslägenhet,10
rok,10
neighborhood,10
lugn,10
away,10
50,10
classic,10
rental,10
modernt,10
built,10
3a,10
taylor,10
swift,10
female,9
person,9
ljust,9
colorful,9
fair,9
solig,9
space,9
cute,9
djurgården,9
